"","LFC","padj","DE"
"Cre07.g322850",-2.16301626026427,1.06654433470055e-14,TRUE
"Cre07.g323350",2.30219755377434,2.47187521347198e-07,TRUE
"Cre07.g323400",3.8056480592873,6.47767952434097e-06,TRUE
"Cre07.g324650",2.65344402132567,0.000451998722133603,TRUE
"Cre07.g324700",3.1831590417523,0.00188164379388467,TRUE
"Cre07.g325200",2.69369128827776,0.00792420419573518,TRUE
"Cre07.g325700",2.07609235320921,3.70709367752997e-06,TRUE
"Cre07.g325850",-2.80099337032735,0.0241962139855263,TRUE
"Cre07.g326750",-2.35752451414363,3.50852550414861e-32,TRUE
"Cre07.g327650",-2.87915276188269,7.05370301052287e-12,TRUE
"Cre07.g327950",-3.06425169713333,0.00293408810098127,TRUE
"Cre07.g329277",2.415911223363,3.42380617544137e-40,TRUE
